unique_id,name,hair_color,eye_color,height_in_inches,weight_in_pounds,gender
1,Samuel,brown,hazel,58,240,male
2,Ruby,blonde,green,96,254,female
3,Ashley,brown,brown,64,258,male
4,Joan,white,hazel,67,163,male
5,Gerald,blonde,black,99,286,female
6,Victor,black,blue,59,281,female
7,Donald,gray,brown,60,236,female
8,Chris,white,black,52,196,male
9,Gerald,red,brown,99,169,male
10,Benjamin,blonde,black,84,119,female
11,John,white,hazel,70,96,male
12,Juan,gray,black,84,170,female
13,Andrea,gray,black,75,96,female
14,Melissa,gray,black,77,222,male
15,Mark,blonde,green,57,253,female
16,Janice,blonde,blue,77,105,female
17,Craig,black,green,86,223,male
18,Ashley,red,blue,56,179,female
19,Debra,red,brown,51,166,male
20,Susan,brown,brown,67,207,male
21,Larry,gray,brown,72,284,male
22,Jeffrey,brown,black,82,111,male
23,Joe,brown,hazel,97,142,male
24,Craig,blonde,brown,73,250,female
25,Sarah,gray,brown,64,124,male
26,Kenneth,brown,hazel,99,109,male
27,Amy,black,green,88,156,male
28,Ruth,blonde,hazel,77,143,female
29,Joseph,black,black,61,114,male
30,Billy,black,brown,61,107,male
31,Lori,white,hazel,82,241,male
32,Jack,red,hazel,100,244,male
33,Billy,white,hazel,92,254,female
34,Martin,blonde,hazel,71,183,female
35,John,black,brown,91,195,female
36,Jane,brown,blue,77,275,female
37,Rachel,black,black,53,162,male
38,Jack,gray,brown,68,263,female
39,Julie,brown,blue,84,136,female
40,Steven,brown,blue,67,277,male
41,Julia,brown,blue,69,274,female
42,Ruby,gray,blue,66,171,female
43,Katherine,white,black,85,190,female
44,Gerald,gray,green,55,94,male
45,Shirley,black,blue,51,242,female
46,Tina,blonde,hazel,53,275,male
47,Melissa,gray,blue,70,166,male
48,Robert,gray,green,90,160,male
49,Aaron,black,hazel,65,213,female
50,Donald,red,black,66,202,female
51,Rachel,brown,brown,63,108,female
52,Debra,gray,hazel,68,239,male
53,Brenda,white,brown,61,150,male
54,Raymond,gray,green,72,156,male
55,Alice,gray,blue,85,172,female
56,Shirley,brown,black,75,97,male
57,Edward,red,blue,64,222,male
58,Jeffrey,white,brown,55,193,male
59,Clarence,gray,black,55,212,male
60,Gerald,black,hazel,93,146,female
61,Victor,gray,green,60,131,male
62,Denise,brown,black,52,232,male
63,Anne,white,black,65,187,female
64,Kathy,black,hazel,78,122,male
65,Thomas,gray,hazel,77,210,female
66,Julie,gray,brown,50,109,female
67,Carolyn,red,blue,90,198,female
68,Frank,red,black,58,249,female
69,Nancy,red,hazel,98,118,male
70,Robert,gray,brown,87,107,female
71,Sean,red,green,66,142,female
72,Stephen,black,hazel,58,144,female
73,Amanda,blonde,black,55,156,male
74,Jessica,white,green,69,148,male
75,Donna,white,black,92,100,male
76,Ann,red,blue,61,157,male
77,Elizabeth,white,black,55,110,female
78,Robert,brown,brown,68,260,male
79,Margaret,white,brown,83,194,male
80,Ann,gray,blue,64,107,male
81,Alice,blonde,hazel,78,220,female
82,Walter,red,hazel,57,289,male
83,Samuel,white,black,66,177,female
84,Craig,black,black,71,187,male
85,Julia,white,black,95,166,male
86,Edward,red,brown,91,244,female
87,Gerald,black,black,100,267,female
88,Mildred,brown,hazel,96,270,female
89,Jose,gray,green,86,193,female
90,Terry,red,brown,85,274,female
91,Judy,gray,hazel,78,177,male
92,Donald,gray,blue,81,253,male
93,Brian,blonde,blue,80,149,male
94,Jerry,black,black,83,177,male
95,Robert,black,brown,86,184,male
